Accession,Protein
IPI00908536,A2RRH5
IPI00908579,O75923
IPI00908586,Q7L099
IPI00908607,Q7Z5L7
IPI00908643,Q08623
IPI00908658,O75923
IPI00908672,Q68CP4
IPI00908702,Q9NW15
IPI00908717,Q969M7
IPI00908751,Q9BXT4
IPI00908764,O75923
IPI00908769,Q9Y4Y9
IPI00908786,Q9NZR1
IPI00908809,Q9UQ74
IPI00908813,Q5T5M9
IPI00908817,Q92973
IPI00908820,A1A4F0
IPI00908826,O75923
IPI00908840,Q14865
IPI00908845,Q08116
IPI00908873,Q14978
IPI00908904,Q3LFD5
IPI00908918,Q9NW68
IPI00908936,O75923
IPI00908947,P0CJ85;P0CJ86;P0CJ88;P0CJ89;P0CJ90
IPI00908977,Q96N96
IPI00909046,Q9Y673
IPI00909064,Q13057
IPI00909098,Q8TC71
IPI00909110,Q96LA8
IPI00909116,Q96S90
IPI00909137,Q04900
IPI00909142,Q86U86
IPI00909153,Q9Y616
IPI00909155,Q9UJU2
IPI00909178,Q9NZR4
IPI00909179,Q96PY6
IPI00909217,Q6ZS27
IPI00909239,P12814
IPI00909284,P0C7I6
IPI00909290,Q9NW64
IPI00909318,Q12769
IPI00909341,Q9BVG8
IPI00909362,Q969M7
IPI00909379,Q96PY6
IPI00909385,O75648
IPI00909387,Q9H3K2
IPI00909393,P17544
IPI00909394,B6A8C7
IPI00909405,Q8N8Q1
IPI00909431,Q9UL19
IPI00909432,Q9Y2Q3
IPI00909451,Q96ST2
IPI00909462,Q16667
IPI00909467,P38398
IPI00909480,C9JBD0
IPI00909493,Q9BPX6
IPI00909516,O14773
IPI00909535,Q8NI60
IPI00909569,Q8WUI4
IPI00909628,Q8N4T4
IPI00909654,Q9NVM4
IPI00909695,P62068
IPI00909714,O60678
IPI00909719,Q9BXI9
IPI00909747,Q16610
IPI00909799,Q8N4S0
IPI00909811,Q5JU69
IPI00909833,Q9NW68
IPI00909865,Q8N1I8
IPI00909892,Q8WV44
IPI00909949,P13929
IPI00910036,Q8N2C7
IPI00910091,Q9UP65
IPI00910099,Q4G0U5
IPI00910114,Q9H7C4
IPI00910121,Q96RL1
IPI00910136,Q8IW45
IPI00910151,Q8NHU6
IPI00910188,Q86VZ5
IPI00910214,Q86V40
IPI00910251,O00327
IPI00910257,Q8WYJ6
IPI00910262,Q15063
IPI00910313,Q9P2D0
IPI00910318,Q08345
IPI00910383,Q04912
IPI00910395,O95206
IPI00910406,Q9NPJ4
IPI00910420,P49419
IPI00910435,Q86U86
IPI00910439,A2RTY3
IPI00910445,O75923
IPI00910450,P00750
IPI00910451,Q4G0U5
IPI00910476,Q99689
IPI00910480,Q96QE5
IPI00910524,P43358
IPI00910529,Q0VAA5
IPI00910543,A1Z1Q3
IPI00910551,Q86UQ8
IPI00910557,Q9NUV7
IPI00910558,Q9P209
IPI00910570,O75414
IPI00910598,O75414
IPI00910602,P12036
IPI00910610,Q969M7
IPI00910624,O75923
IPI00910645,Q8NEK5
IPI00910648,Q99418
IPI00910656,Q9Y225
IPI00910708,Q9NWV8
IPI00910739,Q5BVD1
IPI00910850,Q9BTM9
IPI00910867,Q6UXF7
IPI00910891,Q9NYV4
IPI00910916,Q8TBF2
IPI00910928,Q9ULP0
IPI00910934,Q49A26
IPI00911001,Q13952
IPI00911101,O75923
IPI00913835,O60784
IPI00913860,Q6P2M8
IPI00913863,Q8N7K0
IPI00913869,Q96JN2
IPI00913871,O94772
IPI00913872,Q03933
IPI00913897,Q9Y6R1
IPI00913911,O60784
IPI00913924,Q8TF66
IPI00913938,Q9UI26
IPI00913939,Q9HB58
IPI00913953,P0C6T2
IPI00913955,Q9Y577
IPI00913957,A6NJ16
IPI00913969,P22303
IPI00913988,Q93074
IPI00913993,Q8WYK2
IPI00913994,Q96R67
IPI00914005,O15417
IPI00914009,Q8IW50
IPI00914014,Q96SB4
IPI00914015,Q96HE8
IPI00914016,Q9UJW0
IPI00914018,Q96AX9
IPI00914019,P16615
IPI00914020,Q13191
IPI00914032,Q96AX9
IPI00914033,Q5T2Q4
IPI00914038,Q9Y561
IPI00914041,P16284
IPI00914049,Q8NB25
IPI00914052,Q9BPX6
IPI00914060,Q93086
IPI00914061,Q13428
IPI00914066,Q96AX9
IPI00914068,Q9P2A4
IPI00914526,B4DS77
IPI00914531,Q5VVY1
IPI00914534,Q9HCL0
IPI00914539,Q9P2R3
IPI00914544,P51878
IPI00914545,Q9UBF9
IPI00914546,P42684
IPI00914556,C9J202
IPI00914557,P51878
IPI00914559,O43521
IPI00914560,O43521
IPI00914563,O43521
IPI00914566,P14324
IPI00914570,Q9NQV8
IPI00914575,P51689
IPI00914578,Q9NWF4
IPI00914579,Q9BU19
IPI00914580,B4DU55
IPI00914584,Q9BTE6
IPI00914586,O43521
IPI00914592,O43521
IPI00914598,Q8N8E2
IPI00914600,O43521
IPI00914604,Q14934
IPI00914605,A8K830
IPI00914633,P52741
IPI00914635,Q3B7T3
IPI00914643,P03372
IPI00914644,O15151
IPI00914651,Q4G0Z9
IPI00914659,Q9NQX1
IPI00914663,Q6ZWJ8
IPI00914667,O15151
IPI00914670,O43521
IPI00914677,O43521
IPI00914678,Q6UVW9
IPI00914842,O60462
IPI00914848,P07093
IPI00914849,Q5T2P8
IPI00914850,Q99550
IPI00914855,Q13505
IPI00914858,Q6ZS81
IPI00914861,Q13398
IPI00914869,Q3B7T1
IPI00914874,Q96E66
IPI00914881,Q70EL1
IPI00914887,Q9P2K3
IPI00914888,Q96E66
IPI00914890,O15021
IPI00914891,Q7Z7H5
IPI00914893,Q13621
IPI00914894,Q8N4S9
IPI00914897,Q9HCH0
IPI00914899,Q9Y6N6
IPI00914901,P56975
IPI00914904,O00206
IPI00914907,Q6UY27
IPI00914908,Q7Z7H5
IPI00914911,Q5VWQ8
IPI00914914,P55259
IPI00914919,Q9P2K3
IPI00914925,Q9HAZ2
IPI00914928,Q9UHK6
IPI00914930,Q6UB99
IPI00914935,Q00722
IPI00914936,O43566
IPI00914938,O94973
IPI00914943,P55259
IPI00914952,O94973
IPI00914955,Q3L8U1
IPI00914963,Q07002
IPI00914967,Q03923
IPI00914969,Q08174
IPI00914975,Q9P0U3
IPI00914979,Q53F39
IPI00914986,A1Z1Q3
IPI00914987,Q9NR96
IPI00914989,P10070
IPI00914995,Q9Y2D5
IPI00914997,O43699
IPI00914999,Q6ZNE9
IPI00915001,Q92908
IPI00915004,Q13398
IPI00915022,Q8NI27
IPI00915023,Q9H4Z2
IPI00915025,A4FU01
IPI00915026,Q6ZWH5
IPI00915028,Q92784
IPI00915029,Q92784
IPI00915033,Q14188
IPI00915034,O43663
IPI00915253,P98175
IPI00915260,O75909
IPI00915264,Q8N8A2
IPI00915282,Q9UJX3
IPI00915283,O15320
IPI00915287,O95758
IPI00915291,O15320
IPI00915293,O95208
IPI00915294,O94964
IPI00915295,B6SEH9
IPI00915299,O95758
IPI00915309,Q13555
IPI00915310,O75626
IPI00915314,Q15772
IPI00915318,A4UGR9
IPI00915324,P09493
IPI00915327,Q13555
IPI00915331,Q8WXI3
IPI00915334,Q6ZT12
IPI00915341,A4UGR9
IPI00915342,P25791
IPI00915351,O60291
IPI00915356,Q8N684
IPI00915359,O60291
IPI00915383,Q13555
IPI00915388,Q8N0Z8
IPI00915390,Q92854
IPI00915393,Q13555
IPI00915398,Q96PC3
IPI00915400,O95758
IPI00915403,Q16236
IPI00915408,P55808
IPI00915412,O15197
IPI00915413,Q9HDB5
IPI00915417,O75923
IPI00915424,Q86VP6
IPI00915425,Q9Y6Y1
IPI00915432,O75185
IPI00915442,Q5FYB1
IPI00915443,O15320
IPI00915450,Q96JM2
IPI00915457,B2RU33
IPI00915462,O43147
IPI00915463,P62847
IPI00915469,Q7RTY8
IPI00915471,O15146
IPI00915755,A2RUB6
IPI00915765,A7E2S9
IPI00915794,O15091
IPI00915852,Q9NVH0
IPI00915871,A8MVX0
IPI00915889,Q8NCS7
IPI00915914,Q9NZR4
IPI00915924,Q96HZ4
IPI00915929,O75400
IPI00915950,O15091
IPI00915967,Q68DN6
IPI00915985,Q9UKG4
IPI00916027,Q86XH1
IPI00916110,Q96LZ7
IPI00916111,P40925
IPI00916144,O75335
IPI00916185,Q9P2D7
IPI00916208,P42566
IPI00916224,O15068
IPI00916254,Q96PE3
IPI00916292,Q9UIF8
IPI00916332,Q8NEZ4
IPI00916348,Q8WUI4
IPI00916385,Q9Y5I0
IPI00916402,Q2M2I8
IPI00916414,Q8N0U4
IPI00916428,P98175
IPI00916437,Q5BKX5
IPI00916461,C9J442
IPI00916470,Q8WUI4
IPI00916487,P26232
IPI00916501,Q9Y5X0
IPI00916548,Q8WXE0
IPI00916567,Q96N96
IPI00916634,Q8N5H7
IPI00916685,Q6ZQY3
IPI00916697,P20839
IPI00916755,Q5HYI7
IPI00916785,O14964
IPI00916789,Q9H4I0
IPI00916798,Q14966
IPI00916810,Q8WUI4
IPI00916831,Q9NUQ6
IPI00916923,Q8TCT1
IPI00916940,Q9BTE6
IPI00916988,Q6P087
IPI00917034,Q8WUI4
IPI00917061,Q2KHT3
IPI00917067,Q14934
IPI00917072,Q9UBK7
IPI00917110,Q8N4M1
IPI00917176,Q9P2D7
IPI00917217,A2RUB1
IPI00917254,Q8N608
IPI00917263,Q9Y2D4
IPI00917266,Q969M7
IPI00917346,Q16629
IPI00917369,P0CW19;P0CW20
IPI00917417,Q8NDX9
IPI00917435,Q6YHU6
IPI00917463,Q9Y679
IPI00917464,Q5BVD1
IPI00917516,Q0D2K0
IPI00917572,A2RUB1
IPI00917604,A6NL88
IPI00917607,O75330
IPI00917613,Q99704
IPI00917626,Q49A88
IPI00917650,Q92508
IPI00917698,Q6ZRS4
IPI00917705,O95876
IPI00917712,C9JJ37
IPI00917714,Q9Y2Q3
IPI00917765,O00141
IPI00917771,Q63HM1
IPI00917851,P23560
IPI00917914,Q9P2M4
IPI00917917,Q86Y78
IPI00917940,Q08AE8
IPI00917945,Q86XD5
IPI00917951,Q8N5V2
IPI00920950,Q5CZA5
IPI00920959,A6NN90
IPI00920972,Q569G3
IPI00920996,Q99966
IPI00921003,Q8N4C6
IPI00921019,P47884
IPI00921024,Q6N043
IPI00921029,Q9NQV6
IPI00921062,P46952
IPI00921080,P23229
IPI00921092,Q9NQV6
IPI00921125,A6NNH0
IPI00921136,Q92800
IPI00921141,Q9H2V7
IPI00921205,A8MVW0
IPI00921207,A6NKT7
IPI00921220,P0CB47
IPI00921251,Q76KX8
IPI00921257,Q92800
IPI00921280,Q9Y570
IPI00921283,Q9ULD0
IPI00921284,Q92800
IPI00921285,A6NEH6
IPI00921293,A6NCS6
IPI00921305,Q8NEP3
IPI00921311,Q92800
IPI00921312,Q86XM0
IPI00921331,Q9Y471
IPI00921346,Q03112
IPI00921371,Q6ZU67
IPI00921386,Q9UPE1
IPI00921389,Q5VV43
IPI00921397,Q9NQX0
IPI00921401,P23229
IPI00921408,Q9ULD0
IPI00921415,P0CG31
IPI00921422,Q14008
IPI00921426,Q9BXX2
IPI00921442,Q5VV43
IPI00921457,Q6N043
IPI00921468,A6NHX0
IPI00921478,A8MXK1
IPI00921480,P24046
IPI00921488,Q13098
IPI00921489,Q92503
IPI00921523,P00751
IPI00921527,Q92738
IPI00921532,Q07866
IPI00921533,P0C8F1
IPI00921537,A6NNL5
IPI00921560,Q9BSM1
IPI00921566,Q12955
IPI00921577,A6NNP5
IPI00921607,Q9Y575
IPI00921609,Q7L5Y6
IPI00921614,A8MWE9
IPI00921807,Q9BXM9
IPI00921808,Q8NEM8
IPI00921830,P07108
IPI00921844,O60566
IPI00921845,Q9UHC7
IPI00921857,A0MZ66
IPI00921915,B9EJG8
IPI00921922,A0MZ66
IPI00921956,O15061
IPI00921960,P54819
IPI00921973,Q7RTS9
IPI00921986,Q9Y305
IPI00921996,P16949
IPI00922004,O43283
IPI00922006,P56377
IPI00922067,Q9NQH7
IPI00922068,Q9Y6M1
IPI00922082,P07101
IPI00922125,A1A5B4
IPI00922140,Q9H4H8
IPI00922165,P54819
IPI00922178,A0MZ66
IPI00922192,O43283
IPI00922212,Q5VWP3
IPI00922217,Q5K4L6
IPI00922222,P03923
IPI00922234,P0CF97
IPI00922249,C9JC47
IPI00922250,Q8TAD7
IPI00922265,Q8N4V1
IPI00922268,Q9NVZ3
IPI00922274,Q6ZP80
IPI00922278,P03986
IPI00922284,Q8N371
IPI00922296,Q5H9T9
IPI00922319,Q8TAC9
IPI00922350,P29590
IPI00922363,O43283
IPI00922369,Q9NWU1
IPI00922400,Q8NFV4
IPI00922403,Q5JVG8
IPI00922407,Q9NQH7
IPI00922436,O43283
IPI00922464,P0CG42
IPI00922479,O75381
IPI00922490,P27540
IPI00922493,P35372
IPI00922495,A8MYA2
IPI00922504,P29590
IPI00922515,P35372
IPI00922521,O95971
IPI00922523,A1A5B4
IPI00922530,A6NNP5
IPI00922532,Q7Z6M3
IPI00922540,Q4L180
IPI00922551,P35372
IPI00922566,A5D8W1
IPI00922613,Q4L180
IPI00922644,P35372
IPI00922651,A2RTY3
IPI00922655,Q8TEH3
IPI00922656,O75747
IPI00922666,P35913
IPI00922697,P08559
IPI00922708,P80303
IPI00922721,A2RTY3
IPI00922766,P51788
IPI00922794,Q5H8C1
IPI00922825,Q96E66
IPI00922835,O95785
IPI00922877,Q8TF17
IPI00922913,P35372
IPI00922915,O60566
IPI00922926,Q8WZ04
IPI00923386,Q14934
IPI00923387,Q14934
IPI00923389,Q9NQW1
IPI00923394,Q12857
IPI00923398,Q9Y5T5
IPI00923402,Q6UW88
IPI00923404,Q14934
IPI00923405,Q14934
IPI00923407,Q8IX94
IPI00923409,Q9Y217
IPI00923411,Q96JY0
IPI00923412,Q14934
IPI00923417,Q14934
IPI00923424,P16112
IPI00923426,Q14934
IPI00923427,O76064
IPI00923428,Q14934
IPI00923436,Q9Y618
IPI00923437,P16112
IPI00923439,Q14934
IPI00923440,Q14934
IPI00923445,Q6UW88
IPI00923450,Q9Y5T5
IPI00923457,Q5VTY9
IPI00923464,Q6UW88
IPI00923465,Q14934
IPI00923469,Q14934
IPI00923474,Q9NU63
IPI00923476,Q9UPR6
IPI00923482,A6NF83
IPI00923483,Q7Z3Z4
IPI00923488,Q14934
IPI00923502,A6NKF1
IPI00923508,P17021
IPI00923509,Q14934
IPI00923513,Q6UW88
IPI00923514,Q8TC59
IPI00923519,Q8N2C7
IPI00923520,Q9Y275
IPI00923524,Q9UBP0
IPI00923531,Q9Y618
IPI00923533,Q8N2C7
IPI00923535,P49842
IPI00923540,C9JFL3
IPI00923544,P17040
IPI00923552,Q8N2C7
IPI00923553,Q9UBP0
IPI00923559,Q14934
IPI00923568,Q14934
IPI00923572,Q6P280
IPI00923576,Q8N9Z9
IPI00923580,Q14934
IPI00923584,Q8N9Z9
IPI00923589,Q14934
IPI00923591,Q14934
IPI00923593,Q9UPT9
IPI00923596,Q9Y618
IPI00923598,A4D1S5
IPI00923599,A6H8Z2
IPI00923608,Q14934
IPI00923620,Q14934
IPI00923621,Q5T1H1
IPI00923627,Q05BV3
IPI00924444,Q6ZNC8
IPI00924498,Q9UBU3
IPI00924525,P15621
IPI00924538,Q96RY5
IPI00924556,Q9Y6A9
IPI00924603,P27816
IPI00924608,Q5THJ4
IPI00924609,Q9UM22
IPI00924625,Q9H902
IPI00924634,P49756
IPI00924641,Q9UJ41
IPI00924667,Q0VGL1
IPI00924692,Q9H7E2
IPI00924752,Q96GE5
IPI00924788,Q6PIU2
IPI00924816,P58546
IPI00924837,Q6NUS6
IPI00924856,Q16611
IPI00924876,Q92622
IPI00924883,Q96I27
IPI00924973,P48740
IPI00924987,Q9BQS7
IPI00924989,Q9BQK8
IPI00925014,O43490
IPI00925015,Q9UIG8
IPI00925046,P47897
IPI00925056,Q99836
IPI00925163,P0CL85
IPI00925207,Q9UIG8
IPI00925225,O43490
IPI00925255,Q6PCB5
IPI00925309,Q9H310
IPI00925329,A6NKU9
IPI00925345,Q9NZB8
IPI00925360,Q8N720
IPI00925378,O14628
IPI00925427,P0C869
IPI00925443,Q14643
IPI00925450,Q9NR21
IPI00925467,O43490
IPI00925469,P0CE72
IPI00925473,Q68CQ1
IPI00925494,Q9Y600
IPI00925520,P17858
IPI00925540,P26927
IPI00925567,C9JRZ8
IPI00925578,Q0VDD8
IPI00925620,P15502
IPI00925621,Q9NPH3
IPI00925670,P49756
IPI00925697,O95628
IPI00925706,O60840
IPI00925712,O43490
IPI00925719,Q9Y303
IPI00925743,Q5VVW2
IPI00925754,Q86T82
IPI00925810,Q9NYB9
IPI00925895,Q14135
IPI00925976,P55201
IPI00925994,Q9HDD0
IPI00926005,Q86VX9
IPI00926017,P25791
IPI00926020,Q04912
IPI00926109,Q7L2E3
IPI00926149,Q9C0A1
IPI00926163,P49756
IPI00926171,O43490
IPI00926174,Q9Y462
IPI00926181,Q8N6V4
IPI00926241,O60343
IPI00926333,P01135
IPI00926338,Q9HCM3
IPI00926351,Q8NCG7
IPI00926356,Q92527
IPI00926418,A8MZG2
IPI00926432,A8K8P3
IPI00926460,O60343
IPI00926461,Q13535
IPI00926476,Q9UMR3
IPI00926509,Q0P6D2
IPI00926518,Q4VNC1
IPI00926544,A4D2B0
IPI00926574,Q9Y2C4
IPI00926602,P55201
IPI00926615,Q9H1J5
IPI00926621,Q13948
IPI00926625,Q15942
IPI00926638,Q86XT2
IPI00926649,P35712
IPI00926673,Q12894
IPI00926724,Q7L4E1
IPI00926756,O60343
IPI00926771,Q96RE9
IPI00926812,Q9Y3A0
IPI00926839,Q16850
IPI00926843,P58512
IPI00926871,P52744
IPI00926885,Q49AM3
IPI00926904,Q5FWF4
IPI00926911,Q96E66
IPI00926929,P78424
IPI00926940,Q9NZB8
IPI00926977,P62333
IPI00926985,O60343
IPI00927051,P52756
IPI00927100,Q96IV0
IPI00927133,P0C263
IPI00927172,P49190
IPI00927191,P16278
IPI00927194,A4D0S4
IPI00927269,Q5T4F4
IPI00927327,Q8N2Q7
IPI00927328,Q8NCT3
IPI00927406,A2RUB6
IPI00927408,Q96QD9
IPI00927445,Q96QD9
IPI00927568,O75128
IPI00927582,Q9BXP5
IPI00927606,P07203
IPI00927611,Q8N8L2
IPI00927678,A2RRL7
IPI00927697,B2RXF0
IPI00927718,Q14135
IPI00927747,P03979
IPI00927767,Q6ZNC8
IPI00927799,P35222
IPI00927805,Q6ZMH5
IPI00927809,Q7L2E3
IPI00927860,P52298
IPI00927889,A2RRL7
IPI00927892,O75439
IPI00927899,Q6ZR08
IPI00927949,P08319
IPI00929121,P52747
IPI00929133,O75678
IPI00929141,A6NHS7
IPI00929172,Q9NPG3
IPI00929187,P51816
IPI00929198,Q9UIF8
IPI00929211,P19438
IPI00929214,Q9UJQ1
IPI00929221,Q9P0W2
IPI00929228,Q9H7E2
IPI00929254,Q9NZ71
IPI00929269,Q8N5J2
IPI00929290,Q9UKV8
IPI00929296,P29558
IPI00929311,Q9NZ71
IPI00929313,Q8NDH2
IPI00929353,Q9H310
IPI00929364,P54803
IPI00929374,Q6UX46
IPI00929410,O60813
IPI00929423,O60243
IPI00929427,O14497
IPI00929442,Q9HCE1
IPI00929463,Q9P2K1
IPI00929470,Q9BTD8
IPI00929472,Q6IPT4
IPI00929479,O60241
IPI00929505,Q86WT6
IPI00929518,Q68CQ1
IPI00929530,Q9HDC9
IPI00929538,O75346
IPI00929541,Q8TDF6
IPI00929544,Q86TP1
IPI00929545,O60241
IPI00929553,Q8NBU5
IPI00929566,Q9UKP5
IPI00929592,P54803
IPI00929627,O15069
IPI00929635,Q9P2M7
IPI00929643,Q9H6Y2
IPI00929645,Q9Y4J8
IPI00929648,O43768
IPI00929686,P22460
IPI00929688,P57081
IPI00929712,Q9NZ71
IPI00929718,P54803
IPI00929723,P57081
IPI00929731,Q5JT25
IPI00929746,Q9UPX8
IPI00929750,Q9C086
IPI00929751,Q9NZ71
IPI00930054,P18577
IPI00930096,Q9BZM2
IPI00930104,Q14524
IPI00930114,Q6ZN54
IPI00930155,P18577
IPI00930175,Q9NR82
IPI00930185,Q68DV7
IPI00930189,P49238
IPI00930195,P09038
IPI00930224,Q5TCS8
IPI00930238,Q68DV7
IPI00930250,P18577
IPI00930252,Q9P2J8
IPI00930255,P18577
IPI00930289,Q9P2N7
IPI00930290,Q9H8M2
IPI00930293,P18577
IPI00930299,Q96NJ3
IPI00930327,Q9UHK6
IPI00930333,P52756
IPI00930339,Q9HD40
IPI00930346,Q9UBU8
IPI00930357,P42696
IPI00930368,Q8NCD3
IPI00930378,Q9BZD2
IPI00930387,Q9BRK5
IPI00930398,Q96MT1
IPI00930399,P82094
IPI00930404,P06870
IPI00930412,P0C5Y4
IPI00930434,Q68DV7
IPI00930442,P01861
IPI00930449,Q9BRT8
IPI00930469,Q9P2N7
IPI00930477,P18577
IPI00930484,Q6UW56
IPI00930497,Q6PP77
IPI00930504,P35556
IPI00930505,Q6ZN54
IPI00930539,Q495Y8
IPI00930551,Q9P2N7
IPI00930555,Q8N2K0
IPI00930557,P09038
IPI00930560,P0CW27
IPI00930563,P52569
IPI00930569,Q5XUX0
IPI00930574,P18577
IPI00930576,Q96NJ3
IPI00930605,Q9NPJ8
IPI00930619,P52756
IPI00930637,Q96BJ8
IPI00930659,Q96EP1
IPI00930668,Q9BRK5
IPI00930670,P42331
IPI00930688,P68363
IPI00930709,Q9BRK5
IPI00930713,Q9UHK6
IPI00930719,Q4VX67
IPI00930747,O75096
IPI00935164,O95359
IPI00935213,Q4G0T1
IPI00935252,Q5H9U9
IPI00935359,Q8N628
IPI00935363,Q99871
IPI00935431,P01106
IPI00935465,Q86TI4
IPI00935477,Q8TD08
IPI00935502,A6NGB0
IPI00935507,P19544
IPI00935516,O75506
IPI00935528,Q86TZ1
IPI00935557,Q9HCC9
IPI00935670,Q8IZP0
IPI00935700,Q9HCH5
IPI00935729,O43504
IPI00935747,Q9NRI5
IPI00935774,A4D1F6
IPI00935803,Q3B820
IPI00935809,P0DI80
IPI00935840,P13688
IPI00935899,Q9UNG2
IPI00935900,P19544
IPI00935919,P62068
IPI00935968,A8MTY0
IPI00936002,P49419
IPI00936024,P56559
IPI00936051,Q96M86
IPI00936073,Q8WU08
IPI00936104,P30511
IPI00936141,Q9H8T0
IPI00936147,O15547
IPI00936149,Q8IZA0
IPI00936215,Q9HCC9
IPI00936224,P46736
IPI00936274,P62068
IPI00936281,Q9UBE8
IPI00936290,Q9UI36
IPI00936363,A2VDJ0
IPI00936431,Q9NQ38
IPI00936546,Q9UDW1
IPI00936550,Q5W041
IPI00936551,Q9UPE1
IPI00936567,Q9BXY5
IPI00936569,Q96MK2
IPI00936570,Q8NDA2
IPI00936576,Q9P206
IPI00936595,P19544
IPI00936631,Q8NAA5
IPI00936634,Q9NP31
IPI00936667,A6NNA2
IPI00936708,P52948
IPI00936731,P45378
IPI00936735,Q3MJ16
IPI00936738,Q5JTV8
IPI00936807,Q13402
IPI00936831,Q9NZ56
IPI00936836,Q5VTT5
IPI00936892,P02458
IPI00936936,Q01196
IPI00936966,Q13495
IPI00937015,P51522
IPI00937051,P39086
IPI00937105,P13942
IPI00937128,Q8TAF3
IPI00937147,Q6PKH6
IPI00937278,P48556
IPI00937280,Q96PC3
IPI00937288,P49760
IPI00937304,O14936
IPI00937318,Q96MM7
IPI00937326,A8MV23
IPI00937352,P45378
IPI00937443,O95072
IPI00937471,O00410
IPI00937477,Q15061
IPI00937525,Q9Y334
IPI00937543,Q9H3U5
IPI00937556,Q0P651
IPI00937612,Q9BZC7
IPI00937615,P26641
IPI00937627,Q504Y0
IPI00937652,O43251
IPI00937691,Q99489
IPI00937711,Q27J81
IPI00937731,Q86T75
IPI00937746,Q9HCC9
IPI00937780,Q5BLP8
IPI00937782,Q9NZM3
IPI00937821,O75140
IPI00937866,A0PJM3
IPI00937868,Q9NX52
IPI00937870,Q86SQ6
IPI00937887,Q9UHF7
IPI00937891,Q9UG56
IPI00937916,Q9HCC9
IPI00937956,Q5T0N5
IPI00937971,O95428
IPI00938010,P46100
IPI00938040,Q5SGD2
IPI00938055,Q2M2Z5
IPI00938069,Q02509
IPI00938081,O95428
IPI00938122,Q12799
IPI00938135,Q9P0X4
IPI00938160,Q9Y4F9
IPI00938163,Q9BVL2
IPI00938168,Q6PID8
IPI00938185,O75022
IPI00938254,Q6L8G4
IPI00938269,Q5SGD2
IPI00938352,Q96D71
IPI00939119,Q8IX12
IPI00939120,Q86TG7
IPI00939126,A6PVL3
IPI00939148,Q9UJV3
IPI00939150,Q6PIF6
IPI00939154,Q13625
IPI00939162,Q86UQ0
IPI00939163,Q92598
IPI00939169,O75882
IPI00939172,Q14244
IPI00939174,Q96FW1
IPI00939191,P21675
IPI00939198,Q13546
IPI00939203,Q86YR5
IPI00939219,Q99808
IPI00939228,Q5HYM0
IPI00939232,Q6ZSJ9
IPI00939238,Q01196
IPI00939246,Q8NBH2
IPI00939250,O00238
IPI00939251,Q86VK4
IPI00939265,Q9NUV9
IPI00939281,Q7Z4R8
IPI00939283,Q9BY44
IPI00939295,O75170
IPI00939301,P21757
IPI00939304,O00410
IPI00939320,Q96Q15
IPI00939321,P40855
IPI00939339,P28332
IPI00939344,Q8NE31
IPI00939364,O75376
IPI00939368,Q68DX3
IPI00939369,Q8J025
IPI00939371,Q9UPX8
IPI00939383,Q9BVW6
IPI00939399,Q3KR37
IPI00939404,P40337
IPI00939408,Q9BXX2
IPI00939415,Q4LDE5
IPI00939442,P34931
IPI00939450,Q96KJ4
IPI00939453,Q6UX46
IPI00939471,P46736
IPI00939474,Q9BQ50
IPI00939479,Q9UKU0
IPI00939482,Q92565
IPI00939489,Q9H869
IPI00939491,P49589
IPI00939517,Q9UJX2
IPI00939537,O43236
IPI00939539,Q01543
IPI00939546,Q14451
IPI00939562,P32297
IPI00939566,Q96ST8
IPI00939572,Q86UK0
IPI00939575,Q9UJ70
IPI00939577,P52435
IPI00939590,O14593
IPI00939593,Q9UMR2
IPI00939594,Q70IA6
IPI00939602,Q07864
IPI00939624,P40189
IPI00939660,Q6IQ20
IPI00939691,Q9NTI2
IPI00939695,Q68CQ1
IPI00939707,O75153
IPI00939709,P53990
IPI00939720,Q9NR09
IPI00939728,P60201
IPI00939736,A6ND01
IPI00939743,O95149
IPI00939755,Q9Y6W6
IPI00939759,Q96A09
IPI00939760,Q9NRA0
IPI00939783,O95990
IPI00939796,Q6ZN11
IPI00939800,Q9BUE6
IPI00939803,Q9Y5W7
IPI00939809,Q9Y2Q1
IPI00939814,Q9UBM8
IPI00939843,Q2V2M9
IPI00939879,O43747
IPI00939882,O60504
IPI00939888,P57729
IPI00939897,Q5GAN6
IPI00939901,Q9NX52
IPI00939904,Q9Y233
IPI00939910,Q7KZI7
IPI00939914,O15417
IPI00939917,Q92925
IPI00939922,Q96Q27
IPI00939930,Q8NBJ7
IPI00939936,C9JH25
IPI00939946,Q9UL68
IPI00939949,Q86SM8
IPI00939950,Q96B70
IPI00939958,Q6IEE8
IPI00939967,Q8WZ42
IPI00939972,Q5T2P9
IPI00939978,C9JQI7
IPI00940001,Q6ZMM2
IPI00940002,Q8NHX4
IPI00940013,Q96G74
IPI00940033,Q9UPQ9
IPI00940044,Q9Y5W7
IPI00940053,Q9C030
IPI00940065,P01344
IPI00940072,Q96F15
IPI00940089,Q8NDM7
IPI00940090,Q9Y572
IPI00940093,O75369
IPI00940099,P04278
IPI00940105,Q8IZ96
IPI00940115,Q96HP0
IPI00940120,Q6JBY9
IPI00940123,Q15329
IPI00940136,P17927
IPI00940144,Q96ET8
IPI00940148,P50395
IPI00940182,P29590
IPI00940186,Q15532
IPI00940207,Q6NUN9
IPI00940221,P19021
IPI00940222,Q02952
IPI00940237,O00148
IPI00940256,Q13207
IPI00940264,P51570
